1,par123,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,,,,,,,,
2,par12,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,Your username must between 6 and 10 digits,,,,,,,,,,
3,par1234567,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,,,,,,,,
4,par12345678,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,Your username must between 6 and 10 digits,,,,,,,,,,
5,parth12,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,Username already present,,,,,,,,,,
6,par123,parth,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,Password has to be minimum 6 characters,,,,,,,,,
7,par123,par456789112345678911234567891,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,,,,,,,,
8,par4567891,par4567891123456789112345678912,1001663627,parth,mehta,1234567890,parth@gmail.com,212 s cooper,Arlington,texas,76013,,Password has to be minimum 6 characters,,,,,,,,,
9,par123,parth1#,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,No special characters allowed,,,,,,,,,
10,par123,parth1,100166362,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,UtaID has to be 10 digits,,,,,,,,
11,par123,parth1,10016636271,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,UtaID has to be 10 digits,,,,,,,,
12,par123,parth1,vaibhav123,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,Has to be digits,,,,,,,,
13,par123,parth1,1001663627,,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,First name cannot be empty,,,,,,,
14,par123,parth1,1001663627,parth,,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,,Last name cannot be empty,,,,,,
15,par123,parth1,1001663627,parth,mehta,123456789,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,,,Phone number has to be 10 digits,,,,,
16,par123,parth1,1001663627,parth,mehta,1234567890,mehta,212 s cooper,arlington,texas,76013,,,,,,,Enter a valid email id,,,,
17,par123,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,,arlington,texas,76013,,,,,,,,address cannot be empty,,,
18,par123,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,,texas,76013,,,,,,,,,city cannot be empty,,
19,par123,parth1,1001663627,parth,mehta,par1267890,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,,,Has to be digits,,,,,
20,par123,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,,76013,,,,,,,,,,state cannot be empty,
21,par123,parth1,1001663627,parth,mehta,1234567890,mehta@gmail.com,212 s cooper,arlington,texas,vaibhav,,,,,,,,,,,Has to be digits
22,par123,parth1,1001663627,parth,mehta,12345678901,mehta@gmail.com,212 s cooper,arlington,texas,76013,,,,,,Phone number has to be 10 digits,,,,,
